Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1300604391234379778,"Tonight, President Trump declined to rebuke violence.

He wouldn’t even repudiate one of his supporters who is charged with murder.

He is too weak, too scared of the hatred he has stirred to put an end to it.",Joe Biden,JoeBiden,2020-09-01T01:20:25.000Z,Tue Sep 01 01:20:25 +0000 2020,133238,28200,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,,,,,
1300599253207785472,Fear never builds the future — hope does. https://t.co/V0jCGRBBG7,Joe Biden,JoeBiden,2020-09-01T01:00:00.000Z,Tue Sep 01 01:00:00 +0000 2020,24982,6237,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,,0,0,video,https://video.twimg.com/amplify_video/1300580286330175489/vid/720x720/zEZxxv9LD4a9YwOe.mp4?tag=13,,,
1300591702219132928,"If Donald Trump wants to ask the question: Who will keep you safer as President?

Let’s answer it. https://t.co/pDXCqzRbQe",Joe Biden,JoeBiden,2020-09-01T00:30:00.000Z,Tue Sep 01 00:30:00 +0000 2020,28759,8058,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,,0,0,video,https://video.twimg.com/amplify_video/1300579806858354697/vid/320x320/83dg6tbFTS8mlzfT.mp4?tag=13,,,
1300583900503183360,"Donald Trump looks at this violence and sees a political lifeline.

He failed to protect America, so now he's trying to scare America. https://t.co/BCoO4gS2zE",Joe Biden,JoeBiden,2020-08-31T23:59:00.000Z,Mon Aug 31 23:59:00 +0000 2020,24092,6807,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,,0,0,video,https://video.twimg.com/amplify_video/1300578895025049602/pl/e0yJ68-_LIdngK2i.m3u8?tag=13,,,
1300576603295158272,"Folks, we're just hours away from our first end-of-month fundraising deadline of the general election. We need your help to hit our goal and show Donald Trump we have what it takes to win in November.

If you're able, please chip in today: https://t.co/8tOxeZGUM9",Joe Biden,JoeBiden,2020-08-31T23:30:00.000Z,Mon Aug 31 23:30:00 +0000 2020,6652,1911,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://joe.link/3joMrY6 ,0,0,,,,,
1300569556382085120,"The truth is Donald Trump can't stop the violence, because for years he has fomented it. https://t.co/nxqas2Uv5s",Joe Biden,JoeBiden,2020-08-31T23:02:00.000Z,Mon Aug 31 23:02:00 +0000 2020,58550,14667,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,,0,0,video,https://video.twimg.com/amplify_video/1300565630110830592/pl/zU6cryLimlwMlH_h.m3u8?tag=13,,,
1300559741220016128,"Anyone who met Amari will tell you that he was a charismatic young man—poised for greatness. He was ready and willing to take on the world. I can tell you that in 20 years, we all would have been saying, ‘Amari for President.’ #AmariForPresident https://t.co/aa01lftpzt",Joe Biden,JoeBiden,2020-08-31T22:23:00.000Z,Mon Aug 31 22:23:00 +0000 2020,11912,2228,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.live5news.com/2020/08/26/he-was-phenomenal-kid-mother-high-school-student-who-died-suddenly-talks-about-tragedy/ ,1,0,,,,,
1300500098233839616,"More cops have died from COVID this year than have been killed on patrol.

Nearly one in six small businesses in this country are closed.

Do you really feel safer under Trump?",Joe Biden,JoeBiden,2020-08-31T18:26:00.000Z,Mon Aug 31 18:26:00 +0000 2020,171131,39690,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,0,,,,,
1300496925129666561,"Mr. President, it’s high time you condemn violence of any form. https://t.co/rQlXyadZid",Joe Biden,JoeBiden,2020-08-31T18:13:23.000Z,Mon Aug 31 18:13:23 +0000 2020,56537,11797,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/CBSNews/status/1300481849085571072 ,0,0,,,,,
1300495317041729536,"Donald Trump keeps telling us if he was president, you'd feel safe.

Well, he is president — whether he knows it or not.",Joe Biden,JoeBiden,2020-08-31T18:07:00.000Z,Mon Aug 31 18:07:00 +0000 2020,327771,63195,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,0,,,,,
